iter	RMSE
0	3.364655185
1	3.342442431
2	3.320571062
3	3.299197061
4	3.277484072
5	3.256917769
6	3.236520644
7	3.216442503
8	3.196159148
9	3.175793471
10	3.156381625
11	3.13671942
12	3.11761566
13	3.098235795
14	3.079491482
15	3.06073188
16	3.042604837
17	3.024471228
18	3.006849479
19	2.989548162
20	2.972719232
21	2.955350723
22	2.938180273
23	2.921441477
24	2.904767976
25	2.888400667
26	2.872126022
27	2.856698246
28	2.841309067
29	2.825542095
30	2.810909571
31	2.795859614
32	2.781142146
33	2.766430183
34	2.752194451
35	2.738138726
36	2.724209803
37	2.71073745
38	2.69689815
39	2.683390156
40	2.670079061
41	2.657169691
42	2.644546004
43	2.631994055
44	2.619733512
45	2.607269799
46	2.595206609
47	2.582890081
48	2.571185071
49	2.559443528
50	2.547864474
51	2.536761436
52	2.525661706
53	2.514533397
54	2.503709152
55	2.492854285
56	2.482493864
57	2.47213012
58	2.462076426
59	2.452122151
60	2.442060421
61	2.432100266
62	2.422459167
63	2.413099265
64	2.403703028
65	2.394677434
66	2.385495373
67	2.376669119
68	2.367812389
69	2.359319609
70	2.350788652
71	2.342454481
72	2.334394458
73	2.326347321
74	2.318263319
75	2.310366931
76	2.302538959
77	2.294851213
78	2.287550766
79	2.280081273
80	2.272815876
81	2.265771619
82	2.258722662
83	2.251752611
84	2.244916772
85	2.238312536
86	2.231663173
87	2.224994418
88	2.218428897
89	2.211984175
90	2.205636186
91	2.199746053
92	2.193399532
93	2.18727475
94	2.181263065
95	2.175548356
96	2.169797156
97	2.164126949
98	2.15864572
99	2.153243623
100	2.148128228
101	2.142842019
102	2.137788892
103	2.132649131
104	2.127503265
105	2.122539841
106	2.117725282
107	2.113177883
108	2.108279706
109	2.103554337
110	2.098958539
111	2.094586993
112	2.090078893
113	2.085609676
114	2.081183729
115	2.077038295
116	2.072956242
117	2.069049245
118	2.065081249
119	2.061128229
120	2.057389497
121	2.053673466
122	2.050181463
123	2.046264584
124	2.042632239
125	2.039145608
126	2.035786151
127	2.032492654
128	2.029090205
129	2.025738428
130	2.022451566
131	2.019364585
132	2.016177409
133	2.01271225
134	2.009817263
135	2.006773595
136	2.003850876
137	2.000883561
138	1.998012712
139	1.995127076
140	1.992219475
141	1.98950996
142	1.987214855
143	1.984731928
144	1.982118539
145	1.979273793
146	1.976759553
147	1.974281547
148	1.971847943
149	1.969371145
150	1.967008648
151	1.964562195
152	1.962252881
153	1.959984898
154	1.957670831
155	1.955323408
156	1.953259766
157	1.950852114
158	1.948618044
159	1.94642007
160	1.944432803
161	1.942542126
162	1.940674545
163	1.938739418
164	1.93686986
165	1.934930072
166	1.933067325
167	1.931277129
168	1.929812823
169	1.92788726
170	1.926143903
171	1.924512993
172	1.922806024
173	1.921161205
174	1.91953044
175	1.918206583
176	1.916638369
177	1.915113948
178	1.913451444
179	1.911923078
180	1.910510765
181	1.909168471
182	1.90777537
183	1.906441592
184	1.905124994
185	1.903663904
186	1.902344261
187	1.90116378
188	1.899934604
189	1.898782709
190	1.897546299
191	1.896321693
192	1.894979392
193	1.893965824
194	1.892825435
195	1.891660631
196	1.890481363
197	1.889150584
198	1.888048477
199	1.887080709
200	1.88605934
201	1.885106099
202	1.883848562
203	1.882866822
204	1.881785631
205	1.880765627
206	1.879864482
